pincode,date,state,district,age_0_5,age_5_17,age_18_greater,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,year,quarter_4_month
110004,2025-02-12,Delhi,Central Delhi,,,,2.0,0.0,0.0,2.0,2025,Q1_Jan_Apr
110004,2025-03-09,Delhi,Central Delhi,,,,1.0,1.0,,,2025,Q1_Jan_Apr
110004,2025-03-12,Delhi,Central Delhi,,,,1.0,0.0,,,2025,Q1_Jan_Apr
110004,2025-04-09,Delhi,Central Delhi,,,,1.0,0.0,2.0,0.0,2025,Q1_Jan_Apr
110004,2025-04-12,Delhi,Central Delhi,,,,2.0,0.0,,,2025,Q1_Jan_Apr
110005,2025-01-03,Delhi,Central Delhi,,,,441.0,950.0,145.0,2190.0,2025,Q1_Jan_Apr
110005,2025-01-04,Delhi,Central Delhi,,,,1080.0,1261.0,205.0,2580.0,2025,Q1_Jan_Apr
110005,2025-01-05,Delhi,Central Delhi,,,,570.0,930.0,,,2025,Q1_Jan_Apr
110005,2025-01-06,Delhi,Central Delhi,134.0,49.0,11.0,523.0,841.0,,,2025,Q1_Jan_Apr
110005,2025-01-07,Delhi,Central Delhi,200.0,80.0,17.0,601.0,980.0,,,2025,Q1_Jan_Apr
110005,2025-01-09,Delhi,Central Delhi,4.0,5.0,0.0,19.0,33.0,7.0,49.0,2025,Q1_Jan_Apr
110005,2025-01-11,Delhi,Central Delhi,,,,,,0.0,38.0,2025,Q1_Jan_Apr
110005,2025-01-12,Delhi,Central Delhi,,,,23.0,13.0,2.0,40.0,2025,Q1_Jan_Apr
110005,2025-02-09,Delhi,Central Delhi,8.0,3.0,0.0,19.0,24.0,,,2025,Q1_Jan_Apr
110005,2025-02-11,Delhi,Central Delhi,,,,,,2.0,21.0,2025,Q1_Jan_Apr
110005,2025-02-12,Delhi,Central Delhi,,,,18.0,24.0,,,2025,Q1_Jan_Apr
110005,2025-03-09,Delhi,Central Delhi,3.0,1.0,0.0,18.0,11.0,,,2025,Q1_Jan_Apr
110005,2025-03-12,Delhi,Central Delhi,,,,13.0,12.0,,,2025,Q1_Jan_Apr
110005,2025-04-09,Delhi,Central Delhi,7.0,1.0,0.0,14.0,34.0,,,2025,Q1_Jan_Apr
110005,2025-04-12,Delhi,Central Delhi,,,,15.0,11.0,2.0,41.0,2025,Q1_Jan_Apr
110006,2025-01-03,Delhi,North Delhi,,,,901.0,1526.0,196.0,2469.0,2025,Q1_Jan_Apr
110006,2025-01-04,Delhi,North Delhi,,,,1563.0,1769.0,,,2025,Q1_Jan_Apr
110006,2025-01-05,Delhi,North Delhi,,,,1162.0,1733.0,,,2025,Q1_Jan_Apr
110006,2025-01-06,Delhi,North Delhi,,,,800.0,1291.0,,,2025,Q1_Jan_Apr
110006,2025-01-07,Delhi,North Delhi,,,,884.0,1476.0,,,2025,Q1_Jan_Apr
110006,2025-01-09,Delhi,North Delhi,8.0,7.0,0.0,26.0,40.0,,,2025,Q1_Jan_Apr
110006,2025-01-12,Delhi,North Delhi,,,,37.0,35.0,,,2025,Q1_Jan_Apr
110006,2025-02-09,Delhi,North Delhi,5.0,2.0,0.0,48.0,33.0,,,2025,Q1_Jan_Apr
110006,2025-02-11,Delhi,North Delhi,,,,,,4.0,30.0,2025,Q1_Jan_Apr
110006,2025-02-12,Delhi,North Delhi,,,,56.0,58.0,11.0,91.0,2025,Q1_Jan_Apr
110006,2025-03-09,Delhi,North Delhi,4.0,4.0,0.0,38.0,45.0,5.0,35.0,2025,Q1_Jan_Apr
110006,2025-03-11,Delhi,North Delhi,,,,,,6.0,67.0,2025,Q1_Jan_Apr
110006,2025-03-12,Delhi,North Delhi,,,,32.0,48.0,,,2025,Q1_Jan_Apr
110006,2025-04-01,Delhi,North Delhi,,,,,,300.0,2599.0,2025,Q1_Jan_Apr
110006,2025-04-09,Delhi,North Delhi,12.0,3.0,0.0,35.0,56.0,,,2025,Q1_Jan_Apr
110006,2025-04-11,Delhi,North Delhi,,,,,,7.0,58.0,2025,Q1_Jan_Apr
110006,2025-04-12,Delhi,North Delhi,,,,34.0,55.0,,,2025,Q1_Jan_Apr
110007,2025-01-03,Delhi,North Delhi,,,,487.0,973.0,133.0,2437.0,2025,Q1_Jan_Apr
110007,2025-01-04,Delhi,North Delhi,,,,1306.0,1482.0,,,2025,Q1_Jan_Apr
110007,2025-01-05,Delhi,North Delhi,,,,859.0,1266.0,153.0,1975.0,2025,Q1_Jan_Apr
110007,2025-01-06,Delhi,North Delhi,,,,587.0,1005.0,120.0,1358.0,2025,Q1_Jan_Apr
110007,2025-01-07,Delhi,Central Delhi,285.0,89.0,14.0,680.0,1273.0,139.0,1401.0,2025,Q1_Jan_Apr
110007,2025-01-09,Delhi,North Delhi,10.0,2.0,0.0,31.0,27.0,4.0,34.0,2025,Q1_Jan_Apr
110007,2025-01-11,Delhi,North Delhi,,,,,,1.0,41.0,2025,Q1_Jan_Apr
110007,2025-01-12,Delhi,North Delhi,,,,41.0,30.0,,,2025,Q1_Jan_Apr
110007,2025-02-09,Delhi,North Delhi,3.0,2.0,0.0,41.0,22.0,,,2025,Q1_Jan_Apr
110007,2025-02-11,Delhi,North Delhi,,,,,,7.0,14.0,2025,Q1_Jan_Apr
110007,2025-02-12,Delhi,North Delhi,,,,32.0,25.0,1.0,54.0,2025,Q1_Jan_Apr
110007,2025-03-09,Delhi,North Delhi,8.0,1.0,0.0,20.0,28.0,,,2025,Q1_Jan_Apr
110007,2025-03-11,Delhi,North Delhi,,,,,,6.0,54.0,2025,Q1_Jan_Apr
110007,2025-03-12,Delhi,North Delhi,,,,28.0,20.0,,,2025,Q1_Jan_Apr
110007,2025-04-09,Delhi,North Delhi,1.0,2.0,0.0,31.0,18.0,3.0,23.0,2025,Q1_Jan_Apr
110007,2025-04-12,Delhi,North Delhi,,,,26.0,28.0,4.0,41.0,2025,Q1_Jan_Apr
110008,2025-01-03,Delhi,Central Delhi,,,,633.0,1057.0,216.0,2829.0,2025,Q1_Jan_Apr
110008,2025-01-04,Delhi,Central Delhi,,,,1442.0,1496.0,,,2025,Q1_Jan_Apr
110008,2025-01-05,Delhi,Central Delhi,,,,949.0,1242.0,,,2025,Q1_Jan_Apr
110008,2025-01-06,Delhi,Central Delhi,,,,664.0,991.0,,,2025,Q1_Jan_Apr
110008,2025-01-07,Delhi,Central Delhi,,,,784.0,1289.0,,,2025,Q1_Jan_Apr
110008,2025-01-09,Delhi,Central Delhi,16.0,3.0,0.0,30.0,43.0,8.0,58.0,2025,Q1_Jan_Apr
110008,2025-01-12,Delhi,Central Delhi,,,,35.0,28.0,8.0,70.0,2025,Q1_Jan_Apr
110008,2025-02-09,Delhi,Central Delhi,3.0,1.0,0.0,29.0,33.0,15.0,41.0,2025,Q1_Jan_Apr
110008,2025-02-11,Delhi,Central Delhi,,,,,,4.0,24.0,2025,Q1_Jan_Apr
110008,2025-02-12,Delhi,Central Delhi,,,,37.0,23.0,,,2025,Q1_Jan_Apr
110008,2025-03-09,Delhi,Central Delhi,3.0,1.0,0.0,17.0,40.0,,,2025,Q1_Jan_Apr
110008,2025-03-11,Delhi,Central Delhi,,,,,,4.0,56.0,2025,Q1_Jan_Apr
110008,2025-03-12,Delhi,Central Delhi,,,,13.0,27.0,5.0,59.0,2025,Q1_Jan_Apr
110008,2025-04-01,Delhi,Central Delhi,,,,,,408.0,3192.0,2025,Q1_Jan_Apr
110008,2025-04-09,Delhi,Central Delhi,2.0,3.0,0.0,25.0,27.0,11.0,38.0,2025,Q1_Jan_Apr
110008,2025-04-12,Delhi,Central Delhi,,,,20.0,29.0,,,2025,Q1_Jan_Apr
110009,2025-01-03,Delhi,North West Delhi,,,,360.0,624.0,60.0,1346.0,2025,Q1_Jan_Apr
110009,2025-01-04,Delhi,North West Delhi,,,,666.0,690.0,,,2025,Q1_Jan_Apr
110009,2025-01-05,Delhi,North West Delhi,,,,418.0,671.0,,,2025,Q1_Jan_Apr
110009,2025-01-06,Delhi,North West Delhi,,,,363.0,643.0,,,2025,Q1_Jan_Apr
110009,2025-01-07,Delhi,North West Delhi,,,,393.0,706.0,116.0,1175.0,2025,Q1_Jan_Apr
110009,2025-01-09,Delhi,North West Delhi,2.0,1.0,0.0,7.0,17.0,4.0,26.0,2025,Q1_Jan_Apr
110009,2025-01-12,Delhi,North West Delhi,,,,10.0,13.0,,,2025,Q1_Jan_Apr
110009,2025-02-09,Delhi,North West Delhi,8.0,2.0,1.0,14.0,11.0,4.0,26.0,2025,Q1_Jan_Apr
110009,2025-02-11,Delhi,North West Delhi,,,,,,1.0,13.0,2025,Q1_Jan_Apr
110009,2025-02-12,Delhi,North West Delhi,,,,14.0,21.0,,,2025,Q1_Jan_Apr
110009,2025-03-09,Delhi,North West Delhi,3.0,5.0,0.0,9.0,16.0,1.0,25.0,2025,Q1_Jan_Apr
110009,2025-03-12,Delhi,North West Delhi,,,,14.0,16.0,,,2025,Q1_Jan_Apr
110009,2025-04-01,Delhi,North West Delhi,,,,,,106.0,1541.0,2025,Q1_Jan_Apr
110009,2025-04-09,Delhi,North West Delhi,3.0,1.0,1.0,14.0,15.0,,,2025,Q1_Jan_Apr
110009,2025-04-12,Delhi,North West Delhi,,,,14.0,20.0,,,2025,Q1_Jan_Apr
110010,2025-01-03,Delhi,South West Delhi,,,,295.0,500.0,55.0,606.0,2025,Q1_Jan_Apr
110010,2025-01-04,Delhi,South West Delhi,,,,391.0,495.0,,,2025,Q1_Jan_Apr
110010,2025-01-05,Delhi,South West Delhi,,,,232.0,389.0,,,2025,Q1_Jan_Apr
110010,2025-01-06,Delhi,South West Delhi,,,,138.0,263.0,,,2025,Q1_Jan_Apr
110010,2025-01-07,Delhi,South West Delhi,,,,233.0,373.0,,,2025,Q1_Jan_Apr
110010,2025-01-09,Delhi,South West Delhi,2.0,2.0,1.0,22.0,14.0,,,2025,Q1_Jan_Apr
110010,2025-01-11,Delhi,South West Delhi,,,,,,2.0,8.0,2025,Q1_Jan_Apr
110010,2025-01-12,Delhi,South West Delhi,,,,8.0,9.0,,,2025,Q1_Jan_Apr
110010,2025-02-09,Delhi,South West Delhi,2.0,2.0,0.0,,,,,2025,Q1_Jan_Apr
110010,2025-02-11,Delhi,South West Delhi,,,,,,2.0,8.0,2025,Q1_Jan_Apr
110010,2025-02-12,Delhi,South West Delhi,,,,12.0,4.0,,,2025,Q1_Jan_Apr
110010,2025-03-09,Delhi,South West Delhi,,,,15.0,8.0,,,2025,Q1_Jan_Apr
110010,2025-03-11,Delhi,South West Delhi,,,,,,2.0,21.0,2025,Q1_Jan_Apr
110010,2025-03-12,Delhi,South West Delhi,,,,14.0,9.0,1.0,12.0,2025,Q1_Jan_Apr
110010,2025-04-09,Delhi,South West Delhi,3.0,1.0,0.0,5.0,11.0,,,2025,Q1_Jan_Apr
110010,2025-04-12,Delhi,South West Delhi,,,,6.0,6.0,0.0,15.0,2025,Q1_Jan_Apr
110011,2025-01-03,Delhi,Central Delhi,,,,37.0,47.0,,,2025,Q1_Jan_Apr
110011,2025-01-04,Delhi,Central Delhi,,,,18.0,51.0,,,2025,Q1_Jan_Apr
110011,2025-01-05,Delhi,Central Delhi,,,,23.0,54.0,,,2025,Q1_Jan_Apr
110011,2025-01-06,Delhi,Central Delhi,,,,17.0,30.0,,,2025,Q1_Jan_Apr
110011,2025-01-07,Delhi,Central Delhi,,,,16.0,62.0,,,2025,Q1_Jan_Apr
110011,2025-01-09,Delhi,Central Delhi,,,,1.0,0.0,0.0,1.0,2025,Q1_Jan_Apr
110011,2025-01-12,Delhi,New Delhi,,,,,,0.0,2.0,2025,Q1_Jan_Apr
110011,2025-02-09,Delhi,Central Delhi,,,,0.0,1.0,,,2025,Q1_Jan_Apr
110011,2025-02-12,Delhi,Central Delhi,,,,2.0,1.0,0.0,2.0,2025,Q1_Jan_Apr
110011,2025-03-09,Delhi,Central Delhi,,,,,,0.0,1.0,2025,Q1_Jan_Apr
110011,2025-03-11,Delhi,Central Delhi,,,,,,0.0,2.0,2025,Q1_Jan_Apr
110011,2025-03-12,Delhi,New Delhi,,,,0.0,1.0,,,2025,Q1_Jan_Apr
110011,2025-04-09,Delhi,New Delhi,,,,0.0,1.0,,,2025,Q1_Jan_Apr
110011,2025-04-11,Delhi,Central Delhi,,,,,,0.0,3.0,2025,Q1_Jan_Apr
110011,2025-04-12,Delhi,Central Delhi,,,,0.0,1.0,0.0,2.0,2025,Q1_Jan_Apr
110012,2025-01-03,Delhi,Central Delhi,,,,206.0,274.0,73.0,722.0,2025,Q1_Jan_Apr
110012,2025-01-04,Delhi,Central Delhi,,,,685.0,653.0,,,2025,Q1_Jan_Apr
110012,2025-01-05,Delhi,Central Delhi,,,,399.0,671.0,,,2025,Q1_Jan_Apr
110012,2025-01-06,Delhi,Central Delhi,,,,274.0,599.0,,,2025,Q1_Jan_Apr
110012,2025-01-07,Delhi,Central Delhi,,,,263.0,542.0,,,2025,Q1_Jan_Apr
110012,2025-01-09,Delhi,Central Delhi,3.0,2.0,0.0,4.0,12.0,,,2025,Q1_Jan_Apr
110012,2025-01-11,Delhi,Central Delhi,,,,,,1.0,5.0,2025,Q1_Jan_Apr
110012,2025-01-12,Delhi,Central Delhi,,,,9.0,14.0,1.0,16.0,2025,Q1_Jan_Apr
110012,2025-02-09,Delhi,Central Delhi,0.0,0.0,1.0,13.0,14.0,,,2025,Q1_Jan_Apr
110012,2025-02-12,Delhi,Central Delhi,,,,12.0,12.0,0.0,26.0,2025,Q1_Jan_Apr
110012,2025-03-09,Delhi,Central Delhi,1.0,0.0,0.0,8.0,10.0,2.0,17.0,2025,Q1_Jan_Apr
110012,2025-03-11,Delhi,Central Delhi,,,,,,1.0,15.0,2025,Q1_Jan_Apr
110012,2025-03-12,Delhi,Central Delhi,,,,13.0,12.0,,,2025,Q1_Jan_Apr
110012,2025-04-01,Delhi,Central Delhi,,,,,,91.0,658.0,2025,Q1_Jan_Apr
110012,2025-04-09,Delhi,Central Delhi,1.0,0.0,0.0,6.0,14.0,,,2025,Q1_Jan_Apr
110012,2025-04-12,Delhi,Central Delhi,,,,7.0,21.0,0.0,9.0,2025,Q1_Jan_Apr
110013,2025-01-03,Delhi,South Delhi,,,,183.0,153.0,,,2025,Q1_Jan_Apr
110013,2025-01-04,Delhi,South Delhi,,,,462.0,264.0,,,2025,Q1_Jan_Apr
110013,2025-01-05,Delhi,South Delhi,,,,235.0,204.0,,,2025,Q1_Jan_Apr
110013,2025-01-06,Delhi,South Delhi,,,,121.0,142.0,,,2025,Q1_Jan_Apr
110013,2025-01-07,Delhi,South Delhi,,,,156.0,198.0,,,2025,Q1_Jan_Apr
110013,2025-01-09,Delhi,South Delhi,1.0,1.0,0.0,5.0,0.0,2.0,16.0,2025,Q1_Jan_Apr
110013,2025-01-12,Delhi,South Delhi,,,,6.0,5.0,,,2025,Q1_Jan_Apr
110013,2025-02-09,Delhi,South Delhi,2.0,0.0,0.0,4.0,6.0,0.0,7.0,2025,Q1_Jan_Apr
110013,2025-02-11,Delhi,South Delhi,,,,,,0.0,4.0,2025,Q1_Jan_Apr
110013,2025-02-12,Delhi,South Delhi,,,,6.0,6.0,,,2025,Q1_Jan_Apr
110013,2025-03-09,Delhi,South Delhi,1.0,1.0,0.0,6.0,7.0,3.0,4.0,2025,Q1_Jan_Apr
110013,2025-03-12,Delhi,South Delhi,,,,6.0,8.0,0.0,17.0,2025,Q1_Jan_Apr
110013,2025-04-09,Delhi,South Delhi,1.0,0.0,0.0,8.0,6.0,,,2025,Q1_Jan_Apr
110013,2025-04-12,Delhi,South Delhi,,,,3.0,8.0,,,2025,Q1_Jan_Apr
110014,2025-01-03,Delhi,South Delhi,,,,406.0,315.0,29.0,600.0,2025,Q1_Jan_Apr
110014,2025-01-04,Delhi,South Delhi,,,,409.0,300.0,52.0,586.0,2025,Q1_Jan_Apr
110014,2025-01-05,Delhi,South Delhi,,,,221.0,276.0,,,2025,Q1_Jan_Apr
110014,2025-01-06,Delhi,South Delhi,,,,156.0,240.0,,,2025,Q1_Jan_Apr
110014,2025-01-07,Delhi,South Delhi,,,,182.0,305.0,,,2025,Q1_Jan_Apr
110014,2025-01-09,Delhi,South Delhi,2.0,3.0,0.0,6.0,6.0,,,2025,Q1_Jan_Apr
110014,2025-01-12,Delhi,South Delhi,,,,10.0,8.0,0.0,22.0,2025,Q1_Jan_Apr
110014,2025-02-09,Delhi,South Delhi,2.0,0.0,0.0,,,,,2025,Q1_Jan_Apr
110014,2025-02-11,Delhi,South Delhi,,,,,,1.0,5.0,2025,Q1_Jan_Apr
110014,2025-02-12,Delhi,South Delhi,,,,12.0,10.0,,,2025,Q1_Jan_Apr
110014,2025-03-09,Delhi,South Delhi,5.0,0.0,0.0,6.0,8.0,,,2025,Q1_Jan_Apr
110014,2025-03-11,Delhi,South Delhi,,,,,,4.0,24.0,2025,Q1_Jan_Apr
110014,2025-03-12,Delhi,South Delhi,,,,8.0,10.0,4.0,14.0,2025,Q1_Jan_Apr
110014,2025-04-09,Delhi,South Delhi,0.0,1.0,0.0,6.0,6.0,5.0,11.0,2025,Q1_Jan_Apr
110014,2025-04-12,Delhi,South Delhi,,,,6.0,5.0,,,2025,Q1_Jan_Apr
110015,2025-01-03,Delhi,West Delhi,,,,666.0,1283.0,,,2025,Q1_Jan_Apr
110015,2025-01-04,Delhi,West Delhi,,,,1002.0,1273.0,,,2025,Q1_Jan_Apr
110015,2025-01-05,Delhi,West Delhi,,,,615.0,935.0,,,2025,Q1_Jan_Apr
110015,2025-01-06,Delhi,West Delhi,,,,480.0,845.0,,,2025,Q1_Jan_Apr
110015,2025-01-07,Delhi,West Delhi,304.0,107.0,12.0,558.0,983.0,,,2025,Q1_Jan_Apr
110015,2025-01-09,Delhi,West Delhi,7.0,3.0,1.0,31.0,32.0,,,2025,Q1_Jan_Apr
110015,2025-01-12,Delhi,West Delhi,,,,25.0,29.0,,,2025,Q1_Jan_Apr
110015,2025-02-09,Delhi,West Delhi,9.0,1.0,2.0,26.0,22.0,1.0,46.0,2025,Q1_Jan_Apr
110015,2025-02-11,Delhi,West Delhi,,,,,,3.0,23.0,2025,Q1_Jan_Apr
110015,2025-02-12,Delhi,West Delhi,,,,25.0,28.0,8.0,63.0,2025,Q1_Jan_Apr
110015,2025-03-01,Delhi,West Delhi,,,,,,167.0,2159.0,2025,Q1_Jan_Apr
110015,2025-03-09,Delhi,West Delhi,2.0,2.0,0.0,9.0,22.0,,,2025,Q1_Jan_Apr
110015,2025-03-12,Delhi,West Delhi,,,,18.0,23.0,,,2025,Q1_Jan_Apr
110015,2025-04-09,Delhi,West Delhi,7.0,1.0,0.0,16.0,24.0,5.0,36.0,2025,Q1_Jan_Apr
110015,2025-04-11,Delhi,West Delhi,,,,,,0.0,36.0,2025,Q1_Jan_Apr
110015,2025-04-12,Delhi,West Delhi,,,,17.0,18.0,8.0,55.0,2025,Q1_Jan_Apr
110016,2025-01-03,Delhi,South Delhi,,,,153.0,88.0,,,2025,Q1_Jan_Apr
110016,2025-01-04,Delhi,South Delhi,,,,137.0,101.0,,,2025,Q1_Jan_Apr
110016,2025-01-05,Delhi,South Delhi,,,,108.0,101.0,,,2025,Q1_Jan_Apr
110016,2025-01-06,Delhi,South Delhi,,,,126.0,98.0,,,2025,Q1_Jan_Apr
110016,2025-01-07,Delhi,South Delhi,72.0,24.0,20.0,106.0,122.0,,,2025,Q1_Jan_Apr
110016,2025-01-09,Delhi,South Delhi,1.0,1.0,0.0,1.0,4.0,0.0,9.0,2025,Q1_Jan_Apr
110016,2025-01-12,Delhi,South West Delhi,,,,0.0,2.0,0.0,9.0,2025,Q1_Jan_Apr
110016,2025-02-09,Delhi,South Delhi,,,,4.0,4.0,1.0,7.0,2025,Q1_Jan_Apr
110016,2025-02-11,Delhi,South Delhi,,,,,,1.0,3.0,2025,Q1_Jan_Apr
110016,2025-02-12,Delhi,South West Delhi,,,,0.0,1.0,,,2025,Q1_Jan_Apr
110016,2025-03-01,Delhi,South Delhi,,,,,,30.0,304.0,2025,Q1_Jan_Apr
110016,2025-03-09,Delhi,South Delhi,,,,2.0,5.0,0.0,7.0,2025,Q1_Jan_Apr
110016,2025-03-11,Delhi,South Delhi,,,,,,1.0,25.0,2025,Q1_Jan_Apr
110016,2025-03-12,Delhi,South West Delhi,,,,1.0,1.0,0.0,2.0,2025,Q1_Jan_Apr
110016,2025-04-09,Delhi,South Delhi,1.0,0.0,0.0,1.0,4.0,,,2025,Q1_Jan_Apr
110016,2025-04-11,Delhi,South West Delhi,,,,,,0.0,1.0,2025,Q1_Jan_Apr
110016,2025-04-12,Delhi,South Delhi,,,,7.0,2.0,,,2025,Q1_Jan_Apr
110017,2025-01-03,Delhi,South Delhi,,,,327.0,456.0,,,2025,Q1_Jan_Apr
110017,2025-01-04,Delhi,South Delhi,151.0,35.0,12.0,601.0,580.0,183.0,1875.0,2025,Q1_Jan_Apr
110017,2025-01-05,Delhi,South Delhi,118.0,54.0,17.0,548.0,1038.0,,,2025,Q1_Jan_Apr
110017,2025-01-06,Delhi,South Delhi,126.0,45.0,20.0,460.0,792.0,,,2025,Q1_Jan_Apr
110017,2025-01-07,Delhi,South Delhi,199.0,83.0,23.0,465.0,879.0,,,2025,Q1_Jan_Apr
110017,2025-01-09,Delhi,South Delhi,4.0,0.0,0.0,19.0,28.0,,,2025,Q1_Jan_Apr
110017,2025-01-12,Delhi,South Delhi,,,,19.0,15.0,,,2025,Q1_Jan_Apr
110017,2025-02-09,Delhi,South Delhi,8.0,1.0,0.0,12.0,27.0,,,2025,Q1_Jan_Apr
110017,2025-02-12,Delhi,South Delhi,,,,22.0,15.0,,,2025,Q1_Jan_Apr
110017,2025-03-09,Delhi,South Delhi,3.0,2.0,0.0,21.0,24.0,,,2025,Q1_Jan_Apr
110017,2025-03-12,Delhi,South Delhi,,,,13.0,18.0,,,2025,Q1_Jan_Apr
110017,2025-04-09,Delhi,South Delhi,2.0,0.0,0.0,23.0,27.0,,,2025,Q1_Jan_Apr
