State,District,Year,Enrolment,Updates,Rejections,Avg_Age_Enrolled,Gender_Ratio_Female
Andhra Pradesh,Krishna,2022,1962343,302816,4605,37.9,1011.0
Andhra Pradesh,Krishna,2023,2035491,111055,6333,44.7,1042.0
Andhra Pradesh,Krishna,2024,2090126,157966,3553,25.0,973.0
Andhra Pradesh,East Godavari,2018,1332291,239533,5594,43.6,1046.0
Andhra Pradesh,East Godavari,2019,1367789,79492,4225,41.6,1002.0
Andhra Pradesh,East Godavari,2020,1418520,165760,8367,40.1,1037.0
Andhra Pradesh,East Godavari,2021,1467236,238542,8373,45.2,983.0
Andhra Pradesh,East Godavari,2022,1466664,249071,13392,20.1,957.0
Andhra Pradesh,East Godavari,2023,1467527,191491,8667,26.9,989.0
Andhra Pradesh,East Godavari,2024,1477041,253495,6211,25.7,961.0
Arunachal Pradesh,Tawang,2018,4999267,851303,16431,33.8,1001.0
Arunachal Pradesh,Tawang,2019,5195219,703785,26778,28.4,1019.0
Arunachal Pradesh,Tawang,2020,5400392,830336,23934,41.8,906.0
Arunachal Pradesh,Tawang,2021,5519477,348718,12278,38.3,1037.0
Arunachal Pradesh,Tawang,2022,5548560,480296,9348,43.1,1019.0
Arunachal Pradesh,Tawang,2023,5530188,1152321,18423,32.3,976.0
Arunachal Pradesh,Tawang,2024,5510675,703520,24751,37.3,952.0
Arunachal Pradesh,West Kameng,2018,5444122,914869,37104,36.4,992.0
Arunachal Pradesh,West Kameng,2019,5461860,845471,48407,35.4,945.0
Arunachal Pradesh,West Kameng,2020,5578372,1067401,46124,42.2,925.0
Arunachal Pradesh,West Kameng,2021,5597935,825788,13708,33.3,931.0
Arunachal Pradesh,West Kameng,2022,5574444,619749,21735,35.7,1023.0
Arunachal Pradesh,West Kameng,2023,5582470,843766,19440,24.2,970.0
Arunachal Pradesh,West Kameng,2024,5683320,321010,8323,23.3,942.0
Arunachal Pradesh,East Siang,2018,5853389,1277227,70154,40.2,1021.0
Arunachal Pradesh,East Siang,2019,5874158,515036,12892,25.5,933.0
Arunachal Pradesh,East Siang,2020,6085823,871678,30116,26.0,1046.0
Arunachal Pradesh,East Siang,2021,6181465,772617,17100,28.2,984.0
Arunachal Pradesh,East Siang,2022,6216303,553966,5661,33.4,919.0
Arunachal Pradesh,East Siang,2023,6194479,1017301,56115,21.1,934.0
Arunachal Pradesh,East Siang,2024,6439447,1540864,55421,41.3,1007.0
Arunachal Pradesh,Papum Pare,2018,4344924,876050,29456,28.0,1000.0
Arunachal Pradesh,Papum Pare,2019,4366683,1090182,48266,24.5,1017.0
Arunachal Pradesh,Papum Pare,2020,4330017,998762,35578,30.9,923.0
Arunachal Pradesh,Papum Pare,2021,4487311,409962,24402,34.3,958.0
Arunachal Pradesh,Papum Pare,2022,4602186,1009273,30562,47.6,1031.0
Arunachal Pradesh,Papum Pare,2023,4769108,725134,20735,19.3,1022.0
Arunachal Pradesh,Papum Pare,2024,4771969,1049727,60573,40.6,988.0
Assam,Kamrup,2018,1551806,360081,19001,26.6,943.0
Assam,Kamrup,2019,1588346,150164,8095,46.6,916.0
Assam,Kamrup,2020,1594874,284809,12533,44.9,921.0
Assam,Kamrup,2021,1628839,263073,6855,36.6,1018.0
Assam,Kamrup,2022,1641395,335611,19907,34.1,1013.0
Assam,Kamrup,2023,1664113,186603,10333,40.8,923.0
Assam,Kamrup,2024,1657815,145946,2020,47.3,1000.0
Assam,Dibrugarh,2018,1298267,240644,13146,46.4,983.0
Assam,Dibrugarh,2019,1337645,72794,1439,22.6,907.0
Assam,Dibrugarh,2020,1363287,297650,14400,45.3,911.0
Assam,Dibrugarh,2021,1374151,331393,11727,38.9,1013.0
Assam,Dibrugarh,2022,1376218,238703,10818,36.2,1036.0
Assam,Dibrugarh,2023,1396352,270090,2944,32.9,1017.0
Assam,Dibrugarh,2024,1431086,105115,2127,49.2,903.0
Assam,Jorhat,2018,1321827,304114,12836,24.0,948.0
Assam,Jorhat,2019,1348077,97890,4233,31.7,985.0
Assam,Jorhat,2020,1349887,179440,8114,42.2,1009.0
Assam,Jorhat,2021,1383553,166383,7996,48.6,1007.0
Assam,Jorhat,2022,1436514,259148,11977,22.2,1049.0
Assam,Jorhat,2023,1461831,187965,3161,47.4,948.0
Assam,Jorhat,2024,1502023,152007,4740,32.4,901.0
Assam,Cachar,2018,1786288,348192,15550,23.5,962.0
Assam,Cachar,2019,1799452,253951,15007,36.5,971.0
Assam,Cachar,2020,1820528,372249,12523,32.6,1018.0
Assam,Cachar,2021,1875845,165129,3691,34.0,949.0
Assam,Cachar,2022,1871303,293162,17103,30.3,973.0
Assam,Cachar,2023,1860283,181244,7784,26.1,948.0
Assam,Cachar,2024,1853323,431307,21458,34.7,927.0
Bihar,Patna,2018,10803061,716975,16273,47.2,919.0
Bihar,Patna,2019,11209647,2568865,52867,31.6,1035.0
Bihar,Patna,2020,11121074,2750984,82573,42.2,961.0
Bihar,Patna,2021,11249607,736087,25254,24.4,1014.0
Bihar,Patna,2022,11520010,1887710,27449,46.2,925.0
Bihar,Patna,2023,11861182,2156912,68158,46.2,986.0
Bihar,Patna,2024,11874666,1823950,85867,29.6,952.0
Bihar,Gaya,2018,11390566,1317240,62777,22.8,1049.0
Bihar,Gaya,2019,11496710,2862383,163017,34.6,954.0
Bihar,Gaya,2020,11561605,1221680,70436,25.1,1048.0
Bihar,Gaya,2021,11566857,2363868,76102,32.0,993.0
Bihar,Gaya,2022,11522775,1922417,89077,19.8,1033.0
Bihar,Gaya,2023,11649528,1046504,34875,20.9,983.0
Bihar,Gaya,2024,11744859,2679790,132752,32.3,998.0
Bihar,Bhagalpur,2018,8515925,1258907,15273,39.6,1049.0
Bihar,Bhagalpur,2019,8442657,1428185,18462,45.9,962.0
Bihar,Bhagalpur,2020,8631182,1619641,34376,23.7,1000.0
Bihar,Bhagalpur,2021,8866541,1574437,68879,42.3,1036.0
Bihar,Bhagalpur,2022,8907736,1102040,35522,41.1,1037.0
Bihar,Bhagalpur,2023,8965544,2038363,61938,45.6,1049.0
Bihar,Bhagalpur,2024,8954749,1972426,25125,33.0,958.0
Bihar,Muzaffarpur,2018,9170541,2233390,110478,26.4,1001.0
Bihar,Muzaffarpur,2019,9438790,1548546,53762,47.8,917.0
Bihar,Muzaffarpur,2020,9411098,884267,48848,46.5,993.0
Bihar,Muzaffarpur,2021,9365294,2284609,111556,31.7,1035.0
Bihar,Muzaffarpur,2022,9701034,1818918,100236,18.1,1000.0
Bihar,Muzaffarpur,2023,10037469,1329246,37071,49.4,1007.0
Bihar,Muzaffarpur,2024,10124332,934940,48964,23.5,967.0
Chhattisgarh,Raipur,2018,12742110,2684823,64297,35.2,913.0
Chhattisgarh,Raipur,2019,13120492,1719773,58139,22.2,949.0
Chhattisgarh,Raipur,2020,13603440,2444793,78352,18.6,946.0
Chhattisgarh,Raipur,2021,14015235,1290232,38529,31.8,984.0
Chhattisgarh,Raipur,2022,14252187,1497711,84806,25.0,957.0
Chhattisgarh,Raipur,2023,14240853,2806898,96578,31.9,989.0
Chhattisgarh,Raipur,2024,14355640,2780107,101305,46.3,1041.0
Chhattisgarh,Durg,2018,12372176,940100,24436,27.9,1033.0
Chhattisgarh,Durg,2019,12424506,2025298,72437,30.2,935.0
Chhattisgarh,Durg,2020,12483496,2475428,148236,22.6,944.0
Chhattisgarh,Durg,2021,12554463,1420438,72378,18.1,982.0
Chhattisgarh,Durg,2022,12447735,1234911,12927,34.7,1004.0
Chhattisgarh,Durg,2023,12778513,2667674,113311,46.4,913.0
Chhattisgarh,Durg,2024,13059928,912824,46633,33.1,957.0
Chhattisgarh,Bilaspur,2018,13449471,1136376,32833,19.8,978.0
Chhattisgarh,Bilaspur,2019,13498476,2258384,101111,35.3,1003.0
Chhattisgarh,Bilaspur,2020,13672821,2108590,45931,19.0,1034.0
Chhattisgarh,Bilaspur,2021,13868850,3154727,144324,36.6,930.0
Chhattisgarh,Bilaspur,2022,13954716,2131257,74762,26.4,1037.0
Chhattisgarh,Bilaspur,2023,14083664,2795608,46061,35.9,919.0
Chhattisgarh,Bilaspur,2024,13949424,2040008,83536,33.4,990.0
Chhattisgarh,Korba,2018,12102431,2375637,118404,23.0,938.0
Chhattisgarh,Korba,2019,12265670,1905731,111988,23.6,930.0
Chhattisgarh,Korba,2020,12361985,2118902,106146,20.1,973.0
Chhattisgarh,Korba,2021,12683813,1396283,81380,43.5,1020.0
Chhattisgarh,Korba,2022,12735857,1353134,53468,49.8,989.0
Chhattisgarh,Korba,2023,13172553,2199674,43511,46.8,1013.0
Chhattisgarh,Korba,2024,13284975,914692,13432,48.4,910.0
Goa,North Goa,2018,4831334,921491,53191,30.4,1041.0
Goa,North Goa,2019,4955531,418055,8017,38.1,992.0
Goa,North Goa,2020,4999226,443367,16645,38.5,931.0
Goa,North Goa,2021,5030981,271926,9339,36.9,925.0
Goa,North Goa,2022,5097159,530758,21747,34.3,918.0
Goa,North Goa,2023,5199504,1297548,66329,44.5,978.0
Goa,North Goa,2024,5269668,462124,5235,29.1,1021.0
Goa,South Goa,2018,4741179,1041597,35786,45.6,944.0
Goa,South Goa,2019,4841796,505939,11152,36.0,939.0
Goa,South Goa,2020,4887914,329431,10164,33.8,980.0
Goa,South Goa,2021,5076280,263662,14203,44.6,1027.0
Goa,South Goa,2022,5099486,1254441,64945,45.5,1046.0
Goa,South Goa,2023,5109920,391416,17461,33.2,1045.0
Goa,South Goa,2024,5115215,778734,10996,22.3,928.0
Gujarat,Ahmadabad,2018,12884347,3194287,52257,44.8,1022.0
Gujarat,Ahmadabad,2019,13283574,2390695,133773,43.2,1005.0
Gujarat,Ahmadabad,2020,13414464,1434227,74950,44.8,976.0
Gujarat,Ahmadabad,2021,13888448,1191338,48065,24.1,930.0
Gujarat,Ahmadabad,2022,14097843,1072706,25439,24.9,951.0
Gujarat,Ahmadabad,2023,14097076,3195224,191392,44.2,919.0
Gujarat,Ahmadabad,2024,14605636,868473,26028,22.9,1023.0
Gujarat,Surat,2018,9321045,1758642,56213,24.0,1035.0
Gujarat,Surat,2019,9665073,1519977,78640,18.6,925.0
Gujarat,Surat,2020,10044101,2043906,38992,34.0,959.0
Gujarat,Surat,2021,10271307,1305172,64510,48.7,980.0
Gujarat,Surat,2022,10294015,1321388,73858,34.5,925.0
Gujarat,Surat,2023,10438539,943149,10372,23.6,1012.0
Gujarat,Surat,2024,10584833,1606683,29427,36.0,996.0
Gujarat,Vadodara,2018,11619772,1067666,43618,28.3,902.0
Gujarat,Vadodara,2019,11830524,2900054,131808,19.2,1027.0
Gujarat,Vadodara,2020,12160987,2881777,36293,29.8,970.0
Gujarat,Vadodara,2021,12420106,2706639,96728,29.6,997.0
Gujarat,Vadodara,2022,12504664,812598,36663,48.8,949.0
Gujarat,Vadodara,2023,12753364,1400307,70274,31.3,980.0
Gujarat,Vadodara,2024,13190807,3282430,142423,39.5,1036.0
Gujarat,Rajkot,2018,9040334,2224123,47568,47.0,1011.0
Gujarat,Rajkot,2019,9334626,722163,12181,31.8,908.0
Gujarat,Rajkot,2020,9494419,1993692,109017,20.0,988.0
Gujarat,Rajkot,2021,9809740,2001930,34603,18.1,968.0
Gujarat,Rajkot,2022,9785198,1848532,22728,46.4,961.0
Gujarat,Rajkot,2023,9733688,1958775,73888,26.0,1007.0
Gujarat,Rajkot,2024,9883365,1954469,42657,24.2,900.0
Haryana,Gurgaon,2018,5254630,617994,35391,38.5,1040.0
Haryana,Gurgaon,2019,5287200,289458,11852,49.2,995.0
Haryana,Gurgaon,2020,5262708,601470,22298,44.6,1029.0
Haryana,Gurgaon,2021,5393457,748548,24429,25.7,944.0
Haryana,Gurgaon,2022,5449638,1289102,53089,32.4,946.0
Haryana,Gurgaon,2023,5412276,541796,5824,31.4,1038.0
Haryana,Gurgaon,2024,5522496,765747,17806,28.5,1046.0
Haryana,Faridabad,2018,6548748,1114218,52492,20.4,918.0
Haryana,Faridabad,2019,6638577,617890,25895,35.9,1002.0
Haryana,Faridabad,2020,6754576,1150371,58250,47.3,995.0
Haryana,Faridabad,2021,6992733,715163,21490,20.5,996.0
Haryana,Faridabad,2022,7105193,626298,33427,38.5,986.0
Haryana,Faridabad,2023,7076494,815319,26988,21.7,1040.0
Haryana,Faridabad,2024,7190120,1557856,32003,26.9,1008.0
Haryana,Panipat,2018,6778160,1506069,43597,22.3,950.0
Haryana,Panipat,2019,6770401,667214,24338,39.8,1004.0
Haryana,Panipat,2020,6879762,424193,17559,36.1,1028.0
Haryana,Panipat,2021,7015320,1210837,36559,28.5,1007.0
Haryana,Panipat,2022,7066335,1483674,64988,18.5,985.0
Haryana,Panipat,2023,7111183,783814,11658,31.5,934.0
Haryana,Panipat,2024,7103296,1492328,64279,26.4,1021.0
Haryana,Ambala,2018,5799832,1211331,59375,20.0,975.0
Haryana,Ambala,2019,5805041,1177146,45665,26.0,932.0
Haryana,Ambala,2020,5921732,702570,21099,24.9,1008.0
Haryana,Ambala,2021,6129619,1248644,70790,45.6,919.0
Haryana,Ambala,2022,6143544,649714,14842,49.3,1008.0
Haryana,Ambala,2023,6180230,865249,43540,44.3,973.0
Haryana,Ambala,2024,6399075,1324768,33223,32.0,984.0
Himachal Pradesh,Shimla,2018,9510356,948705,10752,29.2,954.0
Himachal Pradesh,Shimla,2019,9430401,2293740,109827,47.1,996.0
Himachal Pradesh,Shimla,2020,9689151,604586,22383,44.6,1028.0
Himachal Pradesh,Shimla,2021,9999708,1923715,96277,24.5,909.0
Himachal Pradesh,Shimla,2022,10153153,535943,5936,43.5,953.0
Himachal Pradesh,Shimla,2023,10194010,2208256,56864,41.4,952.0
Himachal Pradesh,Shimla,2024,10271814,2069385,63649,45.8,928.0
Himachal Pradesh,Kullu,2018,11395633,1437567,58734,19.0,930.0
Himachal Pradesh,Kullu,2019,11453288,1614961,24990,30.1,955.0
Himachal Pradesh,Kullu,2020,11380028,619282,13619,24.2,1040.0
Himachal Pradesh,Kullu,2021,11382346,1241320,66135,22.2,1022.0
Himachal Pradesh,Kullu,2022,11659207,2025489,97001,31.8,923.0
Himachal Pradesh,Kullu,2023,12019464,2959593,165405,45.1,954.0
Himachal Pradesh,Kullu,2024,11996914,701098,22404,45.4,971.0
Himachal Pradesh,Kangra,2018,9888043,1358992,53633,40.8,1042.0
Himachal Pradesh,Kangra,2019,9837946,1656044,65920,27.4,1023.0
Himachal Pradesh,Kangra,2020,9977107,644007,32710,29.0,952.0
Himachal Pradesh,Kangra,2021,10227268,886973,15004,35.4,929.0
Himachal Pradesh,Kangra,2022,10175590,930823,22075,29.9,1018.0
Himachal Pradesh,Kangra,2023,10154277,1911554,88620,26.4,925.0
Himachal Pradesh,Kangra,2024,10188740,732954,18490,28.0,904.0
Himachal Pradesh,Solan,2018,11361761,1894606,79619,31.8,1043.0
Himachal Pradesh,Solan,2019,11727306,1281981,28431,42.6,969.0
Himachal Pradesh,Solan,2020,12149941,2006109,23518,31.6,1032.0
Himachal Pradesh,Solan,2021,12624860,2594704,139226,20.7,1038.0
Himachal Pradesh,Solan,2022,12872115,1108216,31570,25.6,965.0
Himachal Pradesh,Solan,2023,13385693,878084,22262,40.6,1036.0
Himachal Pradesh,Solan,2024,13776671,3294419,138328,23.8,1026.0
Jharkhand,Ranchi,2018,6206570,982133,56443,25.6,1021.0
Jharkhand,Ranchi,2019,6314904,1168488,30047,24.6,986.0
Jharkhand,Ranchi,2020,6417463,1002606,44372,41.3,939.0
Jharkhand,Ranchi,2021,6458602,997336,29238,34.5,1028.0
Jharkhand,Ranchi,2022,6625697,739829,37084,38.6,928.0
Jharkhand,Ranchi,2023,6711596,980880,54219,42.2,980.0
Jharkhand,Ranchi,2024,6722510,1587507,76686,44.3,1018.0
Jharkhand,Purba Singhbhum,2018,6470180,844547,28056,34.5,1003.0
Jharkhand,Purba Singhbhum,2019,6569380,1581860,71453,30.1,1024.0
Jharkhand,Purba Singhbhum,2020,6795790,378376,4001,20.1,930.0
Jharkhand,Purba Singhbhum,2021,6801882,1078885,36447,28.4,993.0
Jharkhand,Purba Singhbhum,2022,6925621,861599,41817,33.9,932.0
Jharkhand,Purba Singhbhum,2023,7114568,364665,19399,28.4,1038.0
Jharkhand,Purba Singhbhum,2024,7100920,1211094,23267,22.4,1034.0
Jharkhand,Dhanbad,2018,6435794,1037926,57907,23.0,942.0
Jharkhand,Dhanbad,2019,6606759,529960,28836,28.0,913.0
Jharkhand,Dhanbad,2020,6792290,679851,10266,28.1,1004.0
Jharkhand,Dhanbad,2021,6804813,883604,47218,23.4,975.0
Jharkhand,Dhanbad,2022,6805729,610295,26181,38.0,1022.0
Jharkhand,Dhanbad,2023,6947358,1464592,52068,23.3,1004.0
Jharkhand,Dhanbad,2024,7089768,1655567,71265,45.8,919.0
Jharkhand,Bokaro,2018,4798226,854419,32997,28.1,1032.0
Jharkhand,Bokaro,2019,4823595,961998,47625,49.7,937.0
Jharkhand,Bokaro,2020,4866547,1212364,46997,31.6,1029.0
Jharkhand,Bokaro,2021,4900603,662481,15000,43.0,1023.0
Jharkhand,Bokaro,2022,4911109,387136,20293,41.5,1019.0
Jharkhand,Bokaro,2023,4880547,838318,31937,37.6,997.0
Jharkhand,Bokaro,2024,5006774,1135426,32758,44.4,1024.0
Karnataka,Bangalore Urban,2018,6741029,399029,17651,41.7,945.0
Karnataka,Bangalore Urban,2019,6928011,1467295,20601,34.4,940.0
Karnataka,Bangalore Urban,2020,7042192,1350515,57951,26.5,916.0
Karnataka,Bangalore Urban,2021,7301399,637062,13697,22.2,1027.0
Karnataka,Bangalore Urban,2022,7440509,1199028,37280,30.2,975.0
Karnataka,Bangalore Urban,2023,7605978,701575,30514,29.2,962.0
Karnataka,Bangalore Urban,2024,7679251,989458,33974,25.7,921.0
Karnataka,Mysore,2018,6184062,1098729,17780,42.2,978.0
Karnataka,Mysore,2019,6329405,1177315,12062,29.6,916.0
Karnataka,Mysore,2020,6482021,764561,34645,46.0,1029.0
Karnataka,Mysore,2021,6457001,990263,25995,46.8,983.0
Karnataka,Mysore,2022,6686740,433714,20475,23.8,946.0
Karnataka,Mysore,2023,6806192,494951,24582,49.1,1017.0
Karnataka,Mysore,2024,7069304,1547261,82350,20.4,1022.0
Karnataka,Dakshin Kannad,2018,5266911,887917,15365,38.7,916.0
Karnataka,Dakshin Kannad,2019,5230124,467897,26303,28.7,1011.0
Karnataka,Dakshin Kannad,2020,5304515,636909,26307,30.9,1002.0
Karnataka,Dakshin Kannad,2021,5411708,853694,12110,34.5,1027.0
Karnataka,Dakshin Kannad,2022,5526389,448092,4491,37.3,951.0
Karnataka,Dakshin Kannad,2023,5713769,498715,23865,20.3,992.0
Karnataka,Dakshin Kannad,2024,5832106,583463,8323,46.4,929.0
Karnataka,Dharwad,2018,4653346,234984,8794,46.4,1005.0
Karnataka,Dharwad,2019,4756307,765671,29105,37.1,1001.0
Karnataka,Dharwad,2020,4841285,801554,9366,42.2,975.0
Karnataka,Dharwad,2021,4994142,905850,9650,41.3,918.0
Karnataka,Dharwad,2022,5020978,540298,20704,35.7,953.0
Karnataka,Dharwad,2023,5024709,614657,7283,28.9,1019.0
Karnataka,Dharwad,2024,5106555,1173422,41715,20.0,933.0
Kerala,Thiruvananthapuram,2018,4342258,516343,21543,32.9,1004.0
Kerala,Thiruvananthapuram,2019,4461989,421953,7490,27.7,1008.0
Kerala,Thiruvananthapuram,2020,4458175,406247,12460,19.7,985.0
Kerala,Thiruvananthapuram,2021,4449651,640938,24786,26.8,983.0
Kerala,Thiruvananthapuram,2022,4445701,1083183,41834,20.0,1006.0
Kerala,Thiruvananthapuram,2023,4539347,942684,27887,40.4,1031.0
Kerala,Thiruvananthapuram,2024,4597426,1021118,23881,28.9,973.0
Kerala,Ernakulam,2018,3422497,331957,16222,27.2,975.0
Kerala,Ernakulam,2019,3555222,653639,28059,33.8,1035.0
Kerala,Ernakulam,2020,3658945,787526,28312,46.3,969.0
Kerala,Ernakulam,2021,3773406,317165,18895,46.9,966.0
Kerala,Ernakulam,2022,3839466,652411,28615,49.1,991.0
Kerala,Ernakulam,2023,3812514,570280,26490,32.6,1047.0
Kerala,Ernakulam,2024,3809325,220740,2631,26.1,934.0
Kerala,Kozhikode,2018,3435446,386271,8650,40.3,1010.0
Kerala,Kozhikode,2019,3488509,596342,22188,39.3,969.0
Kerala,Kozhikode,2020,3503234,691160,9717,39.7,974.0
Kerala,Kozhikode,2021,3584620,677075,22584,43.4,986.0
Kerala,Kozhikode,2022,3599502,867555,37563,49.8,905.0
Kerala,Kozhikode,2023,3710003,259407,14784,44.0,998.0
Kerala,Kozhikode,2024,3741304,228652,11354,32.0,1039.0
Kerala,Thrissur,2018,3974867,219975,3289,21.9,905.0
Kerala,Thrissur,2019,4073227,761645,11599,19.8,940.0
Kerala,Thrissur,2020,4126977,257299,7460,25.9,1025.0
Kerala,Thrissur,2021,4224170,467349,27123,32.5,1014.0
Kerala,Thrissur,2022,4269111,880292,51852,36.7,1029.0
Kerala,Thrissur,2023,4274888,747236,37118,42.8,1031.0
Kerala,Thrissur,2024,4260077,970895,17029,41.8,925.0
Madhya Pradesh,Bhopal,2018,14114263,3111963,103882,18.2,948.0
Madhya Pradesh,Bhopal,2019,14072752,2912425,97357,29.6,902.0
Madhya Pradesh,Bhopal,2020,14413174,2177774,53008,48.2,965.0
Madhya Pradesh,Bhopal,2021,14366273,779071,37620,21.6,1033.0
Madhya Pradesh,Bhopal,2022,14388164,1033015,27321,28.2,978.0
Madhya Pradesh,Bhopal,2023,14874140,2621526,127963,46.5,975.0
Madhya Pradesh,Bhopal,2024,14843516,2705680,56909,42.3,958.0
Madhya Pradesh,Indore,2018,10666301,1688634,98633,20.3,988.0
Madhya Pradesh,Indore,2019,10910692,954318,11674,22.6,927.0
Madhya Pradesh,Indore,2020,10956067,1358791,25406,41.1,995.0
Madhya Pradesh,Indore,2021,10893972,1480341,56698,32.4,907.0
Madhya Pradesh,Indore,2022,10991829,1515114,20469,23.4,945.0
Madhya Pradesh,Indore,2023,10895719,1462026,22317,49.7,951.0
Madhya Pradesh,Indore,2024,11091776,647375,12877,22.2,925.0
Madhya Pradesh,Gwalior,2018,12841593,3035086,118886,34.8,1019.0
Madhya Pradesh,Gwalior,2019,13294377,878808,43242,20.0,945.0
Madhya Pradesh,Gwalior,2020,13384597,1550693,53529,27.3,1002.0
Madhya Pradesh,Gwalior,2021,13686975,1183642,42599,23.1,1040.0
Madhya Pradesh,Gwalior,2022,14064644,1137737,24055,20.6,1047.0
Madhya Pradesh,Gwalior,2023,14028299,855920,49532,44.2,946.0
Madhya Pradesh,Gwalior,2024,14342787,2874708,55357,43.6,1016.0
Madhya Pradesh,Jabalpur,2018,10163405,583858,14461,38.8,920.0
Madhya Pradesh,Jabalpur,2019,10472216,1213894,19141,38.8,1048.0
Madhya Pradesh,Jabalpur,2020,10613918,1269379,49472,49.4,923.0
Madhya Pradesh,Jabalpur,2021,10562853,2024164,22315,18.0,1036.0
Madhya Pradesh,Jabalpur,2022,10969670,2690892,76939,34.9,934.0
Madhya Pradesh,Jabalpur,2023,11082514,640542,35035,41.6,966.0
Madhya Pradesh,Jabalpur,2024,11108967,2159068,71706,28.4,959.0
Maharashtra,Greater Bombay,2018,11091304,2702224,38483,33.3,950.0
Maharashtra,Greater Bombay,2019,11328649,1879818,71215,31.4,1024.0
Maharashtra,Greater Bombay,2020,11636731,993472,52170,19.4,1018.0
Maharashtra,Greater Bombay,2021,12030207,1285767,30682,33.9,901.0
Maharashtra,Greater Bombay,2022,12279858,660749,36912,30.8,979.0
Maharashtra,Greater Bombay,2023,12611675,2573908,142273,46.1,993.0
Maharashtra,Greater Bombay,2024,12772333,1419259,79655,34.2,988.0
Maharashtra,Pune,2018,10691762,948273,45887,45.9,1035.0
Maharashtra,Pune,2019,10667541,2578082,102055,31.8,913.0
Maharashtra,Pune,2020,10802737,1307777,23423,21.9,964.0
Maharashtra,Pune,2021,10731050,1454476,69070,31.2,908.0
Maharashtra,Pune,2022,11093321,1514018,19844,47.1,1028.0
Maharashtra,Pune,2023,11173185,1772108,102724,29.5,1000.0
Maharashtra,Pune,2024,11063784,2324810,83483,39.6,990.0
Maharashtra,Nagpur,2018,8155754,1306582,54499,22.9,994.0
Maharashtra,Nagpur,2019,8397459,2000568,88032,41.3,993.0
Maharashtra,Nagpur,2020,8550278,1836772,55387,28.1,989.0
Maharashtra,Nagpur,2021,8806204,791891,24468,20.1,950.0
Maharashtra,Nagpur,2022,9049821,487446,27015,44.7,1048.0
Maharashtra,Nagpur,2023,9325043,674092,30746,40.1,962.0
Maharashtra,Nagpur,2024,9635565,2389112,70918,31.9,931.0
Maharashtra,Nashik,2018,10266765,1535980,50348,29.3,922.0
Maharashtra,Nashik,2019,10438976,959565,42544,38.8,977.0
Maharashtra,Nashik,2020,10678403,1582644,65353,35.8,910.0
Maharashtra,Nashik,2021,11074584,1524916,51384,40.6,992.0
Maharashtra,Nashik,2022,11435764,1071752,24318,44.7,1028.0
Maharashtra,Nashik,2023,11871234,768728,42160,48.2,909.0
Maharashtra,Nashik,2024,12342836,1226263,44324,49.4,991.0
Maharashtra,Thane,2018,11205249,1016351,32940,41.0,1010.0
Maharashtra,Thane,2019,11505344,1075776,11394,39.1,953.0
Maharashtra,Thane,2020,11569068,2115991,70143,45.6,930.0
Maharashtra,Thane,2021,11609675,2231683,84503,22.2,993.0
Maharashtra,Thane,2022,11988910,1399730,40851,32.7,933.0
Maharashtra,Thane,2023,11927605,1525599,54496,26.3,949.0
Maharashtra,Thane,2024,12339452,991861,33270,36.4,1008.0
Manipur,West Imphal,2018,9413401,919171,31925,21.4,949.0
Manipur,West Imphal,2019,9472711,2290849,37592,43.3,947.0
Manipur,West Imphal,2020,9472372,2078490,29446,38.6,1013.0
